Name,Sector,Employee count,Company Age(in years),Reviews Count,Highly Rated for,Critically Rated for,Overall Company Rating,Job Security Rating,Work-Life balance Rating,Company culture Rating,Skill development Rating,Work Satisfaction Rating,Salary & Benefits Rating,Promotions/Appraisal Rating
Glenmark Pharmaceuticals,Pharma , 10k-50k Employees , 47  ,2600.0,"Skill Development / Learning, Job Security, Salary & Benefits",Promotions / Appraisal,4.0,3.8,3.6,3.7,3.8,3.6,3.8,3.3
Lenskart,Internet , 5k-10k Employees , 14  ,2600.0,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",3.2,3.0,3.0,3.0,3.3,2.9,3.1,2.8
Reliance Digital,Retail , 5k-10k Employees , 17  ,2600.0,"Skill Development / Learning, Job Security, Company Culture",,4.2,4.3,4.0,4.1,4.3,4.0,3.8,3.6
RBL Bank,Banking , 10k-50k Employees , 81  ,2600.0,,"Promotions / Appraisal, Work Satisfaction",3.7,3.6,3.6,3.4,3.4,3.4,3.4,3.2
MRF Tyres,Auto Components , 10k-50k Employees , 78  ,2500.0,Job Security,"Company Culture, Work Satisfaction, Work Life Balance",3.8,4.1,3.3,3.1,3.5,3.2,3.7,3.5
Hindustan Coca Cola Beverages,Beverage , 5k-10k Employees , 27  ,2500.0,"Skill Development / Learning, Salary & Benefits, Company Culture",,4.2,4.0,3.8,4.0,4.0,3.9,4.0,3.5
UnitedHealth,Healthcare , 10k-50k Employees , 47  ,2500.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,4.1,4.3,4.1,4.0,3.8,3.8,3.6,3.4
Paras Hospital,Healthcare , 1k-5k Employees , 18  ,2500.0,"Skill Development / Learning, Work Life Balance, Company Culture",,4.6,4.4,4.5,4.5,4.5,4.4,4.4,4.3
Honda Motorcycle & Scooter,Automobile , 10k-50k Employees , 23  ,2500.0,"Job Security, Work Life Balance, Company Culture",,4.1,4.2,4.0,4.0,3.9,3.9,3.9,3.5
Synechron,IT Services & Consulting , 10k-50k Employees , 23  ,2500.0,Salary & Benefits,"Job Security, Promotions / Appraisal",3.6,3.0,3.6,3.6,3.7,3.4,3.8,3.2
Jubilant Foods Works,Hospitality , 10k-50k Employees , 29  ,2500.0,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance",3.8,3.6,3.4,3.5,3.8,3.4,3.7,3.4
DTDC Express,Logistics , 1k-5k Employees , 34  ,2500.0,,"Promotions / Appraisal, Salary & Benefits",3.8,3.7,3.6,3.4,3.6,3.5,3.4,3.1
Birlasoft,IT Services & Consulting , 10k-50k Employees , 29  ,2500.0,,"Promotions / Appraisal, Salary & Benefits",3.7,3.6,3.7,3.5,3.5,3.4,3.3,3.0
Reliance Nippon Life Insurance,Insurance , 10k-50k Employees , 24  ,2500.0,,"Promotions / Appraisal, Job Security",3.8,3.4,3.6,3.5,3.5,3.4,3.6,3.4
Kotak Mahindara Life Insurance,Insurance , 10k-50k Employees , 23  ,2500.0,Job Security,,3.8,3.9,3.6,3.7,3.7,3.5,3.5,3.4
Ceat Tyres,Auto Components , 5k-10k Employees , 66  ,2500.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.1,4.1,3.7,4.0,4.0,3.6,3.4,3.3
Sahrudaya Healthcare (Medicover Hospitals),Healthcare , 5k-10k Employees , 13  ,2500.0,"Skill Development / Learning, Company Culture, Job Security",,4.6,4.5,4.5,4.5,4.5,4.4,4.2,4.2
ABB Group,Electrical Equipment , 1k-5k Employees , 36  ,2500.0,"Job Security, Work Life Balance, Company Culture",,4.1,4.2,4.0,4.0,3.9,3.8,3.6,3.4
PNB MetLife,Insurance , 5k-10k Employees , 23  ,2500.0,,"Job Security, Work Satisfaction, Promotions / Appraisal",3.5,3.1,3.3,3.1,3.3,3.1,3.4,3.1
JK Cement,Building Material , 1k-5k Employees , 49  ,2500.0,"Salary & Benefits, Job Security, Company Culture",,4.2,3.9,3.8,3.8,3.8,3.8,4.0,3.6
GeBBS Healthcare Solutions,BPO , 5k-10k Employees , 19  ,2500.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.7,3.8,3.5,3.5,3.7,3.4,3.3,3.2
Conduent,BPO , 5k-10k Employees , 7  ,2400.0,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.5,3.7,3.7,3.5,3.2,3.3,2.8,2.6
NatWest Group,Banking , 10k-50k Employees ,Unknown,2400.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,4.0,4.1,4.3,4.1,3.7,3.7,3.4,3.1
KPIT Technologies,Software Product , 5k-10k Employees , 34  ,2400.0,,"Promotions / Appraisal, Work Satisfaction, Job Security",3.6,3.2,3.3,3.3,3.5,3.2,3.3,3.0
CMS IT Services,IT Services & Consulting , 5k-10k Employees , 10  ,2400.0,,"Promotions / Appraisal, Salary & Benefits, Company Culture",3.1,3.0,3.0,2.9,3.0,2.9,2.5,2.4
InterGlobe Aviation,Aviation , 10k-50k Employees , 19  ,2400.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6,3.6,3.3,3.4,3.6,3.2,3.2,3.1
HARMAN,Consumer Electronics & Appliances , 5k-10k Employees , 15  ,2400.0,Work Life Balance,Promotions / Appraisal,3.8,3.5,3.8,3.7,3.4,3.4,3.6,3.3
Dabur,FMCG , 5k-10k Employees , 140  ,2400.0,,Promotions / Appraisal,3.8,3.6,3.6,3.5,3.6,3.5,3.7,3.2
IGT Solutions,IT Services & Consulting , 5k-10k Employees , 26  ,2400.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.4,3.2,3.1,3.1,3.3,3.1,3.0,2.7
Reliance SMSL,BPO , 1k-5k Employees , 17  ,2400.0,"Skill Development / Learning, Salary & Benefits, Work Life Balance",Promotions / Appraisal,4.0,3.8,3.8,3.8,4.0,3.7,3.8,3.3
RSPL Group,FMCG , 10k-50k Employees , 36  ,2400.0,"Job Security, Skill Development / Learning, Work Life Balance",,4.2,4.1,3.9,3.9,3.9,3.9,3.7,3.5
IDFC FIRST Bharat,NBFC , 10k-50k Employees , 8  ,2300.0,"Salary & Benefits, Job Security, Company Culture",,4.5,4.4,4.4,4.4,4.4,4.3,4.5,4.3
ACC,Building Material , 5k-10k Employees , 88  ,2300.0,,Promotions / Appraisal,4.0,3.6,3.5,3.6,3.7,3.6,3.7,3.3
TVS Credit,NBFC , 10k-50k Employees , 16  ,2300.0,"Job Security, Company Culture, Work Life Balance",,4.4,4.2,4.2,4.2,4.2,4.2,4.2,3.9
Tata AIG,Insurance , 5k-10k Employees , 24  ,2300.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.1,4.2,3.9,4.1,3.9,3.8,3.7,3.3
Titan Company,Retail , 5k-10k Employees , 40  ,2300.0,"Company Culture, Job Security, Skill Development / Learning",,4.4,4.3,4.1,4.3,4.1,4.1,3.9,3.6
UPL,Agriculture , 5k-10k Employees , 55  ,2300.0,"Job Security, Skill Development / Learning, Work Life Balance",,4.2,4.0,3.9,3.9,4.0,3.9,3.9,3.5
Shoppers Stop,Retail , 5k-10k Employees , 33  ,2300.0,"Job Security, Company Culture, Skill Development / Learning",,4.1,4.1,3.9,4.0,4.0,3.8,3.7,3.5
Alstom Transportation,Urban Transport , 5k-10k Employees , 96  ,2300.0,Job Security,Promotions / Appraisal,3.8,3.9,3.6,3.5,3.6,3.4,3.6,3.1
PepsiCo,Food Processing , 1 Lakh+ Employees , 59  ,2300.0,"Company Culture, Work Life Balance, Job Security",,4.1,3.9,4.0,4.0,3.9,3.8,3.9,3.5
ArcelorMittal Nippon Steel,Iron & Steel , 5k-10k Employees ,Unknown,2300.0,"Job Security, Skill Development / Learning, Work Life Balance",,4.0,4.0,3.9,3.8,3.9,3.7,3.6,3.4
S&P Global,Analytics & KPO , 10k-50k Employees , 164  ,2300.0,"Company Culture, Work Life Balance, Job Security",,4.2,4.0,4.2,4.3,3.7,3.8,3.9,3.4
Aditya Birla Sun Life Insurance,Insurance , 10k-50k Employees , 24  ,2300.0,"Job Security, Company Culture, Work Life Balance",,4.1,4.1,4.0,4.0,3.9,3.8,3.8,3.6
Wipro Consumer Care & Lighting,FMCG , 1k-5k Employees , 79  ,2300.0,Job Security,Promotions / Appraisal,3.9,3.9,3.6,3.7,3.7,3.6,3.5,3.3
State Street Corporation,Financial Services , 10k-50k Employees , 232  ,2300.0,Job Security,Promotions / Appraisal,3.8,3.9,3.7,3.6,3.5,3.4,3.5,3.1
Torrent Pharmaceuticals,Pharma , 10k-50k Employees , 53  ,2300.0,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",3.9,4.2,4.0,3.9,3.6,3.6,3.2,2.9
Dilip Buildcon,Engineering & Construction , 10k-50k Employees , 37  ,2200.0,"Skill Development / Learning, Work Satisfaction",,4.0,3.6,3.7,3.7,3.8,3.8,3.7,3.5
Statestreet HCL Services,BPO , 5k-10k Employees , 12  ,2200.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",3.3,3.8,3.0,2.9,3.2,2.9,2.7,2.6
Zensar Technologies,IT Services & Consulting , 5k-10k Employees , 23  ,2200.0,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",3.7,3.5,3.8,3.6,3.6,3.5,3.4,3.1
Grasim Industries,Building Material , 10k-50k Employees , 77  ,2200.0,"Job Security, Skill Development / Learning, Work Life Balance",,4.1,4.1,3.8,3.8,3.9,3.7,3.6,3.4
Flex,Logistics , 5k-10k Employees , 55  ,2200.0,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,4.1,3.8,4.0,4.1,3.9,3.8,3.5,3.2
GATI-KWE,Logistics , 1k-5k Employees , 12  ,2200.0,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal,4.0,3.8,3.8,3.8,3.9,3.7,3.6,3.4
Afcons Infrastructure,Engineering & Construction , 5k-10k Employees , 65  ,2200.0,"Job Security, Skill Development / Learning, Company Culture",,4.3,4.2,3.9,4.1,4.2,4.0,4.1,3.9
Tata Technologies,Engineering & Construction , 5k-10k Employees , 35  ,2200.0,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.7,3.9,3.8,3.6,3.4,3.4,3.2,2.8
Mankind Pharma,Pharma , 10k-50k Employees , 29  ,2200.0,"Salary & Benefits, Skill Development / Learning",,4.0,3.7,3.7,3.7,3.8,3.6,3.9,3.6
Walmart,Retail , 5k-10k Employees , 15  ,2200.0,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,3.9,3.9,3.7,3.8,3.7,3.5,3.9,3.3
Wipro Enterprises Ltd,IT Services & Consulting , 501-1k Employees , 79  ,2200.0,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,3.9,3.9,3.8,3.8,3.8,3.6,3.4,3.3
Bajaj Allianz General Insurance,Insurance , 5k-10k Employees ,Unknown,2200.0,"Skill Development / Learning, Salary & Benefits, Company Culture",,4.0,3.8,3.6,3.8,3.9,3.5,3.8,3.5
Sammaan Capital Limited,NBFC , 5k-10k Employees , 19  ,2200.0,,"Promotions / Appraisal, Job Security",3.8,3.4,3.6,3.6,3.6,3.5,3.6,3.3
Capita,IT Services & Consulting , 5k-10k Employees , 19  ,2200.0,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.7,3.7,3.8,3.6,3.4,3.4,3.2,3.0
Kyndryl,IT Services & Consulting , 10k-50k Employees , 2  ,2200.0,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,4.0,3.8,4.1,3.9,4.0,3.8,3.5,3.2
Croma,Retail , 5k-10k Employees , 18  ,2100.0,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,4.0,4.0,3.8,3.8,4.0,3.7,3.7,3.3
UNO Minda,Auto Components , 201-500 Employees , 66  ,2100.0,"Job Security, Skill Development / Learning, Company Culture",,4.1,4.1,3.7,3.8,3.9,3.7,3.8,3.5
Apollo Tyres,Auto Components , 5k-10k Employees , 52  ,2100.0,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,4.0,3.9,3.7,3.9,3.9,3.7,3.6,3.3
ElasticRun,Logistics , 1k-5k Employees , 8  ,2100.0,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.4,2.7,3.2,3.2,3.4,3.2,3.7,3.1
Nokia,Telecom , 10k-50k Employees , 159  ,2100.0,"Work Life Balance, Company Culture, Job Security",,4.2,3.9,4.2,4.1,3.9,3.9,3.7,3.5
Societe Generale Global Solution Centre,Financial Services , 10k-50k Employees , 24  ,2100.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.9,4.2,4.1,3.8,3.6,3.5,3.5,3.1
I Process Services,Recruitment , 1k-5k Employees , 19  ,2100.0,,"Promotions / Appraisal, Salary & Benefits",3.9,3.5,3.7,3.7,3.7,3.6,3.3,2.9
HDFC Sales,Financial Services , 10k-50k Employees , 20  ,2100.0,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,4.1,3.8,3.8,3.9,4.0,3.7,3.5,3.3
Axis Direct,Financial Services , 1k-5k Employees , 13  ,2100.0,,Promotions / Appraisal,3.9,3.7,3.7,3.7,3.6,3.5,3.6,3.3
Motilal Oswal Financial Services,Financial Services , 10k-50k Employees , 37  ,2100.0,Skill Development / Learning,Promotions / Appraisal,3.8,3.6,3.5,3.6,3.9,3.4,3.5,3.4
KocharTech,IT Services & Consulting , 1k-5k Employees , 29  ,2100.0,"Skill Development / Learning, Company Culture, Job Security",,4.0,3.9,3.9,4.0,4.0,3.9,3.8,3.8
Domino's Pizza,Hospitality , 1k-5k Employees , 64  ,2100.0,"Skill Development / Learning, Salary & Benefits",,4.0,3.7,3.6,3.7,3.9,3.6,3.8,3.6
Landmark Group,Retail , 1k-5k Employees , 51  ,2100.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.0,3.9,3.8,3.8,3.8,3.6,3.6,3.3
Nestle,Food Processing , 5k-10k Employees , 65  ,2100.0,"Salary & Benefits, Skill Development / Learning, Job Security",,4.1,3.9,3.6,3.8,4.0,3.7,4.0,3.4
Bajaj Electricals,Consumer Electronics & Appliances , 1k-5k Employees , 86  ,2100.0,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal,4.1,3.6,3.8,3.8,3.8,3.7,3.9,3.4
Max Healthcare,Healthcare , 1k-5k Employees , 23  ,2100.0,"Skill Development / Learning, Job Security, Company Culture",,4.1,4.0,3.8,3.8,4.0,3.8,3.7,3.5
Fiserv,FinTech , 5k-10k Employees , 40  ,2100.0,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",3.6,3.6,3.5,3.3,3.3,3.2,3.5,3.0
Blue Dart Express,Logistics , 10k-50k Employees , 41  ,2100.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,4.1,4.1,3.8,3.9,3.8,3.7,3.7,3.3
AGS Health,Analytics & KPO , 10k-50k Employees , 13  ,2100.0,"Job Security, Company Culture, Skill Development / Learning",,4.0,4.0,3.8,3.9,3.9,3.7,3.6,3.5
Capgemini Engineering,10k-50k Employees , Gurgaon / Gurugram +24 more,Unknown,2100.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6,3.7,3.6,3.5,3.5,3.3,3.0,2.7
BlackBuck,Internet , 1k-5k Employees , 9  ,2000.0,,"Job Security, Promotions / Appraisal",3.8,3.3,3.7,3.6,3.6,3.5,3.7,3.3
Suzlon Group,Power , 5k-10k Employees , 29  ,2000.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,4.1,4.0,3.8,3.8,4.0,3.7,3.5,3.2
McDonald's,Hospitality , 1k-5k Employees , 69  ,2000.0,"Skill Development / Learning, Company Culture, Job Security",,4.2,3.9,3.8,4.0,4.2,3.9,3.7,3.8
G4S,Law Enforcement & Security , 1 Lakh+ Employees , 28  ,2000.0,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,4.0,3.8,3.8,3.7,3.7,3.7,3.8,3.4
Huawei Technologies,Telecom , 51-200 Employees , 22  ,2000.0,"Salary & Benefits, Skill Development / Learning",Job Security,4.0,3.4,3.5,3.7,3.9,3.7,4.1,3.7
Quest Global,IT Services & Consulting , 10k-50k Employees , 27  ,2000.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.7,3.5,3.6,3.6,3.4,3.3,3.1,3.0
IKS Health,Healthcare , 5k-10k Employees , 17  ,2000.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6,3.6,3.5,3.4,3.5,3.3,3.0,2.8
Sterlite Technologies,Hardware & Networking , 1k-5k Employees , 36  ,2000.0,,"Promotions / Appraisal, Job Security",3.8,3.3,3.7,3.7,3.6,3.6,3.7,3.2
Micro Labs,Pharma , 10k-50k Employees , 51  ,2000.0,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture",3.7,3.8,3.5,3.3,3.5,3.4,3.1,3.2
Britannia,FMCG , 1k-5k Employees , 132  ,2000.0,"Job Security, Skill Development / Learning, Company Culture",,4.1,4.0,3.7,3.8,4.0,3.7,3.7,3.5
Patanjali Ayurved,FMCG , 1k-5k Employees , 18  ,2000.0,"Work Life Balance, Job Security",Promotions / Appraisal,4.1,3.8,3.9,3.7,3.7,3.7,3.7,3.3
Zomato,Internet , 1k-5k Employees , 16  ,2000.0,,"Promotions / Appraisal, Job Security",3.8,3.3,3.5,3.6,3.5,3.5,3.7,3.2
Exide Industries,Auto Components , 5k-10k Employees , 77  ,2000.0,,"Promotions / Appraisal, Company Culture, Work Satisfaction",3.6,3.4,3.2,3.1,3.3,3.1,3.3,2.7
XpressBees,Logistics , 5k-10k Employees , 9  ,2000.0,,"Promotions / Appraisal, Company Culture, Job Security",3.7,3.4,3.5,3.4,3.4,3.4,3.4,3.1
Simplex Infrastructures,Engineering & Construction , 1k-5k Employees , 100  ,2000.0,,"Salary & Benefits, Promotions / Appraisal, Company Culture",3.3,3.3,3.2,3.1,3.4,3.2,2.7,2.8
TVS Supply Chain Solutions,Logistics , 1k-5k Employees , 128  ,1900.0,,"Promotions / Appraisal, Salary & Benefits",3.9,3.7,3.6,3.5,3.7,3.6,3.3,3.1
Lava International,Consumer Electronics & Appliances , 1k-5k Employees (Global) , 15  ,1900.0,"Skill Development / Learning, Company Culture, Work Life Balance",,4.1,3.8,3.9,3.9,4.0,3.8,3.8,3.5
Shree Cement,Building Material , 5k-10k Employees , 45  ,1900.0,,Promotions / Appraisal,4.0,3.5,3.7,3.6,3.6,3.6,3.6,3.3
Taj Hotels Resorts and Palaces,Hospitality , 10k-50k Employees , 121  ,1900.0,"Job Security, Company Culture, Skill Development / Learning",,4.2,4.3,3.9,4.2,4.1,3.9,3.8,3.6
Voltas,Consumer Electronics & Appliances , 1k-5k Employees , 70  ,1900.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,4.1,4.1,3.9,3.9,3.9,3.7,3.6,3.3
Fortis Healthcare,Healthcare , 1k-5k Employees , 28  ,1900.0,"Skill Development / Learning, Job Security, Company Culture",,4.1,3.9,3.9,3.9,4.0,3.8,3.6,3.5
KFintech,FinTech , 5k-10k Employees , 7  ,1900.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6,3.8,3.5,3.3,3.3,3.3,2.7,2.6
Tractors and Farm Equipment,Industrial Machinery , 10k-50k Employees , 64  ,1900.0,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal,4.1,3.7,3.8,3.8,3.9,3.8,3.6,3.2
State Street Syntel,Financial Services , 501-1k Employees , 20  ,1900.0,Job Security,"Salary & Benefits, Promotions / Appraisal",3.7,4.0,3.5,3.6,3.7,3.4,2.8,3.0
Mahindra Logistics,Logistics , 1k-5k Employees , 24  ,1900.0,"Skill Development / Learning, Company Culture",Promotions / Appraisal,4.0,3.7,3.7,3.8,3.9,3.7,3.5,3.3
Yazaki,Auto Components , 10k-50k Employees , 83  ,1900.0,,Promotions / Appraisal,3.8,3.7,3.5,3.5,3.7,3.5,3.4,3.2
DS Group,FMCG , 1k-5k Employees , 95  ,1900.0,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal,4.1,3.9,3.9,3.8,3.7,3.7,3.8,3.3
Dalmia Bharat Cement,Building Material , 5k-10k Employees , 89  ,1900.0,"Job Security, Salary & Benefits, Skill Development / Learning",,4.0,4.0,3.7,3.8,3.8,3.7,3.9,3.5
Indus Towers,Telecom , 1k-5k Employees , 17  ,1900.0,,Promotions / Appraisal,3.9,3.5,3.4,3.7,3.6,3.5,3.7,3.3
ACT Fibernet,Telecom , 5k-10k Employees , 16  ,1900.0,"Company Culture, Job Security, Salary & Benefits",,4.0,4.0,3.7,4.0,3.8,3.6,3.8,3.5
ZS,Management Consulting , 5k-10k Employees , 41  ,1900.0,Salary & Benefits,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",3.5,3.5,2.2,3.5,3.4,3.0,3.8,3.3
Himalaya Wellness,Pharma , 5k-10k Employees , 94  ,1900.0,"Work Life Balance, Company Culture, Skill Development / Learning",,4.2,3.8,4.0,3.9,3.9,3.8,3.9,3.4
Ola Cabs,Internet , 1k-5k Employees , 14  ,1900.0,,"Job Security, Promotions / Appraisal, Company Culture",3.4,2.7,3.2,3.1,3.4,3.2,3.5,2.9
Fujitsu,IT Services & Consulting , 5k-10k Employees , 89  ,1900.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,3.8,3.8,4.0,3.8,3.6,3.5,3.5,3.2
PhonePe,FinTech , 5k-10k Employees , 9  ,1900.0,"Salary & Benefits, Job Security, Company Culture",,4.0,3.8,3.7,3.8,3.7,3.6,4.0,3.4
Extramarks Education,EdTech , 1k-5k Employees , 17  ,1900.0,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.4,2.9,3.2,3.2,3.2,3.1,3.4,3.0
Blue Star,Consumer Electronics & Appliances , 1k-5k Employees , 81  ,1900.0,"Company Culture, Skill Development / Learning, Work Satisfaction",,4.0,3.8,3.7,3.9,3.9,3.8,3.8,3.4
SRF,Chemicals , 5k-10k Employees , 54  ,1800.0,"Job Security, Skill Development / Learning, Salary & Benefits",,4.2,4.3,3.9,4.0,4.1,3.9,4.1,3.6
Aditya Birla Group,Building Material , 1 Lakh+ Employees , 167  ,1800.0,"Job Security, Skill Development / Learning, Company Culture",,4.2,4.2,4.0,4.0,4.1,3.9,3.8,3.6
Mahindra Rural Housing Finance,NBFC , 10k-50k Employees , 17  ,1800.0,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.1,3.8,3.9,3.9,3.8,3.7,3.7,3.4
VVDN Technologies,IT Services & Consulting , 5k-10k Employees , 17  ,1800.0,,"Promotions / Appraisal, Salary & Benefits, Company Culture",3.6,3.4,3.3,3.3,3.6,3.4,3.2,3.1
Lifestyle,Retail , 10k-50k Employees , 25  ,1800.0,"Job Security, Company Culture, Skill Development / Learning",,4.4,4.3,4.2,4.3,4.3,4.1,4.0,3.8
Ajanta Pharma,Pharma , 5k-10k Employees , 51  ,1800.0,"Job Security, Work Life Balance, Skill Development / Learning",,4.0,3.9,3.8,3.7,3.8,3.7,3.7,3.5
V-Mart,Retail , 5k-10k Employees , 22  ,1800.0,"Skill Development / Learning, Job Security, Company Culture",,4.2,4.1,4.0,4.0,4.2,3.9,3.8,3.7
Citicorp,Financial Services , 10k-50k Employees , 27  ,1800.0,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",3.7,3.7,3.4,3.4,3.3,3.3,3.9,3.2
Sonalika Tractors,Automobile , 1k-5k Employees , 55  ,1800.0,Job Security,"Promotions / Appraisal, Company Culture, Work Life Balance",3.8,3.8,3.4,3.3,3.5,3.4,3.4,3.2
Ninjacart,Internet , 1k-5k Employees , 9  ,1800.0,"Salary & Benefits, Skill Development / Learning, Company Culture",,4.0,3.6,3.7,3.9,3.9,3.8,3.9,3.6
Shell,Oil & Gas , 10k-50k Employees , 117  ,1800.0,"Work Life Balance, Company Culture, Salary & Benefits",,4.2,3.8,4.4,4.2,3.9,3.8,4.0,3.5
PVR Cinemas,Media & Entertainment , 1k-5k Employees , 27  ,1800.0,"Skill Development / Learning, Job Security, Company Culture",,4.1,3.8,3.7,3.8,3.9,3.8,3.7,3.4
Delhi Public School,Education & Training , 1k-5k Employees , 26  ,1800.0,Skill Development / Learning,,3.9,3.6,3.6,3.6,3.8,3.6,3.6,3.4
Datamatics Global Services,IT Services & Consulting , 5k-10k Employees , 49  ,1800.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.5,3.4,3.4,3.3,3.4,3.2,3.0,2.8
Info Edge,Internet , 5k-10k Employees , 29  ,1800.0,"Job Security, Company Culture, Work Life Balance",,4.0,4.2,3.8,3.8,3.6,3.6,3.6,3.4
NoBroker,Real Estate , 1k-5k Employees , 10  ,1800.0,,"Promotions / Appraisal, Work Satisfaction, Job Security",3.2,2.8,2.9,3.0,3.0,2.8,3.2,2.8
Movate,IT Services & Consulting , 1k-5k Employees , 28  ,1800.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.4,3.3,3.3,3.2,3.3,3.2,2.9,2.7
Eureka Forbes,Consumer Electronics & Appliances , 1k-5k Employees , 42  ,1800.0,,"Promotions / Appraisal, Job Security, Salary & Benefits",3.7,3.2,3.4,3.4,3.6,3.4,3.3,3.1
Nokia Networks,Hardware & Networking , 501-1k Employees ,Unknown,1800.0,"Company Culture, Work Life Balance, Skill Development / Learning",,4.3,4.0,4.2,4.3,4.1,4.1,3.8,3.6
Tata Elxsi,IT Services & Consulting , 5k-10k Employees , 35  ,1800.0,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",4.0,4.4,3.9,3.9,3.8,3.6,3.4,3.4
Parle Agro,Beverage , 5k-10k Employees , 40  ,1800.0,"Job Security, Work Life Balance, Skill Development / Learning",,4.1,4.0,3.9,3.8,3.8,3.8,3.8,3.5
Cholamandalam MS General Insurance,Insurance , 1k-5k Employees , 23  ,1800.0,,Promotions / Appraisal,3.9,3.7,3.7,3.6,3.6,3.6,3.6,3.3
suzuki motor gujarat,Fortune India 500 , Becharaji +96 more,Unknown,1800.0,"Job Security, Salary & Benefits, Company Culture",,4.3,4.3,3.9,4.1,4.0,4.0,4.1,3.9
Radisson Hotels,Hospitality , 5k-10k Employees , 115  ,1800.0,"Skill Development / Learning, Job Security, Work Life Balance",,4.0,3.8,3.8,3.8,3.9,3.8,3.6,3.6
Kansai Nerolac Paints,Chemicals , 1k-5k Employees , 104  ,1800.0,Job Security,Promotions / Appraisal,3.9,3.8,3.6,3.5,3.6,3.5,3.5,3.2
Kalpataru Power Transmission,Engineering & Construction , 1k-5k Employees , 43  ,1800.0,"Job Security, Skill Development / Learning, Company Culture",,4.1,4.0,3.8,3.9,3.9,3.8,3.8,3.5
Cybage,IT Services & Consulting , 5k-10k Employees , 29  ,1800.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.9,4.0,3.9,3.8,3.6,3.5,3.5,3.3
Emcure Pharmaceuticals,Pharma , 5k-10k Employees , 43  ,1800.0,,"Promotions / Appraisal, Job Security, Work Satisfaction",3.8,3.3,3.5,3.4,3.6,3.4,3.6,3.3
Unacademy,EdTech , 1k-5k Employees , 9  ,1800.0,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.1,2.2,2.8,2.8,2.9,2.7,3.3,2.5
Life Insurance Corporation of India,Insurance , 1 Lakh+ Employees , 68  ,1700.0,"Work Life Balance, Company Culture, Salary & Benefits",,4.4,4.1,4.3,4.3,4.2,4.1,4.2,3.9
