Name,Sector,Employee count,Company Age(in years),Reviews Count,Highly Rated for,Critically Rated for,Overall Company Rating,Job Security Rating,Work-Life balance Rating,Company culture Rating,Skill development Rating,Work Satisfaction Rating,Salary & Benefits Rating,Promotions/Appraisal Rating
Novartis,Pharma , 1k-5k Employees , 28  ,1400.0,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,4.1,3.8,4.2,4.1,3.8,3.8,3.9,3.3
Reliance General Insurance,Insurance , 5k-10k Employees , 24  ,1400.0,,Promotions / Appraisal,3.8,3.5,3.5,3.5,3.6,3.4,3.5,3.1
café Coffee day,Hospitality , 1k-5k Employees , 28  ,1400.0,,"Promotions / Appraisal, Salary & Benefits",3.9,3.6,3.7,3.6,3.7,3.6,3.3,3.2
Xoriant,IT Services & Consulting , 1k-5k Employees , 34  ,1400.0,"Work Life Balance, Company Culture",Promotions / Appraisal,3.8,3.5,4.0,3.8,3.7,3.7,3.7,3.4
Tata Advanced Systems,Defence & Aerospace , 5k-10k Employees , 17  ,1400.0,Job Security,"Promotions / Appraisal, Salary & Benefits",3.8,4.2,3.6,3.6,3.7,3.5,3.3,3.0
Uflex,Packaging , 5k-10k Employees , 39  ,1400.0,Job Security,"Promotions / Appraisal, Company Culture",3.8,3.8,3.6,3.3,3.5,3.4,3.5,3.2
SS&C TECHNOLOGIES,IT Services & Consulting , 5k-10k Employees , 38  ,1400.0,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",3.5,3.7,3.1,3.2,3.3,3.2,3.2,3.0
NCR Corporation,IT Services & Consulting , 5k-10k Employees , 140  ,1400.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,4.0,3.8,3.9,3.9,3.6,3.7,3.6,3.2
Tata Play,Broadcasting , 5k-10k Employees , 18  ,1400.0,"Job Security, Company Culture, Salary & Benefits",,4.0,4.0,3.8,4.0,3.9,3.7,3.9,3.5
Spark Minda,Auto Components , 1k-5k Employees , 66  ,1400.0,,Promotions / Appraisal,3.9,3.5,3.5,3.5,3.7,3.5,3.5,3.3
Honda,Automobile , 10k-50k Employees , 39  ,1400.0,"Job Security, Work Life Balance, Company Culture",,4.2,4.1,4.1,4.0,4.0,4.0,3.9,3.8
G R Infraprojects,Engineering & Construction , 10k-50k Employees , 29  ,1400.0,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,4.2,3.7,3.8,3.8,3.9,3.8,3.9,3.7
NEC,IT Services & Consulting , 5k-10k Employees , 125  ,1400.0,"Work Life Balance, Company Culture, Salary & Benefits",,4.4,4.3,4.4,4.3,4.3,4.2,4.3,4.1
Honeywell Automation,Consumer Electronics & Appliances , 10k-50k Employees , 118  ,1400.0,Job Security,"Promotions / Appraisal, Salary & Benefits",3.8,3.8,3.6,3.7,3.6,3.5,3.3,3.1
Saint-Gobain,Engineering & Construction , 10k-50k Employees , 359  ,1400.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.0,4.2,3.9,4.0,3.9,3.7,3.5,3.3
PHN Technology,Pune +30 more, 10k-50k Employees ,Unknown,1400.0,"Skill Development / Learning, Work Satisfaction, Company Culture",,4.6,4.2,4.4,4.5,4.6,4.5,4.1,4.2
Angel One,FinTech , 1k-5k Employees , 28  ,1400.0,"Company Culture, Work Life Balance, Job Security",,4.0,3.8,3.9,3.9,3.7,3.7,3.8,3.5
Honda Cars,Automobile , 5k-10k Employees , 29  ,1400.0,"Work Life Balance, Company Culture, Work Satisfaction",,4.4,4.1,4.3,4.2,4.1,4.1,4.1,3.8
R.R. Donnelley,Marketing & Advertising , 5k-10k Employees , 160  ,1400.0,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",4.0,4.3,3.8,4.0,3.8,3.8,3.3,3.1
Amazon Transportation Services,Logistics , 1k-5k Employees , 12  ,1400.0,"Salary & Benefits, Company Culture, Skill Development / Learning",,4.1,3.7,3.9,4.1,4.1,3.9,4.2,3.6
Mercedes-Benz Research & Development India,IT Services & Consulting , 5k-10k Employees , 28  ,1300.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,4.0,4.2,4.2,3.9,3.6,3.6,3.7,3.2
Team Computers,IT Services & Consulting , 1k-5k Employees , 37  ,1300.0,,Promotions / Appraisal,3.7,3.5,3.6,3.5,3.5,3.4,3.4,3.1
Innovsource Services,Recruitment , 1k-5k Employees , 20  ,1300.0,,Promotions / Appraisal,4.0,3.6,3.7,3.7,3.7,3.7,3.6,3.2
Chegg,EdTech , 501-1k Employees , 19  ,1300.0,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,4.2,3.5,4.3,4.0,4.1,3.9,3.9,3.4
CMS Infosystems,IT Services & Consulting , 5k-10k Employees , 16  ,1300.0,,"Promotions / Appraisal, Salary & Benefits, Company Culture",3.7,3.4,3.2,3.2,3.3,3.2,3.1,2.8
Paisabazaar.com,Internet , 1k-5k Employees , 10  ,1300.0,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.6,3.0,3.2,3.2,3.4,3.1,3.6,3.1
